Time_s,Altitude_100km,Longitude_deg,Latitude_deg,Velocity_1000mps,FlightPath_deg,Azimuth_deg,AngleOfAttack_deg,BankAngle_deg,HeatRate_Wm2,HeatLoad_Jm2
98.3555275443893,0.2263606754673241,136.47288277001928,-4.137992771701513,0.10053319951421637,-4.309723676241598,103.32607874959814,0.0,88.99942790517079,71.53892980644902,2934.7961090392514
98.45552793726367,0.22628121999794107,136.47460662500262,-4.1384000378609995,0.10043427789491606,-4.3296141197192775,103.33991838176142,0.0,88.99942750954872,71.5233346496278,2941.948470602815
98.55552833013796,0.2262014770604288,136.4763286449122,-4.138807308435961,0.10033549092970205,-4.349527492156398,103.35375560149691,0.0,88.99942711094216,71.50842268905345,2949.0993409644566
98.6555287230122,0.2261214468561942,136.47804883200627,-4.139214583000983,0.10023683813933615,-4.369463799801564,103.36759045414053,0.0,88.9994267093527,71.49419404372833,2956.248788455969
98.75552911588638,0.2260411295867342,136.4797671885341,-4.139621861131849,0.10013831904687667,-4.3894230489514445,103.38142298492836,0.0,88.99942630478185,71.480646964096,2963.3968812341896
98.8555295087605,0.22596052545363682,136.48148371673645,-4.140029142405524,0.10003993317766638,-4.409405245950673,103.39525323899727,0.0,88.99942589723088,71.46778022702728,2970.5436873336416
98.95552990163455,0.22587963465858282,136.48319841884523,-4.140436426400155,0.0999416800593202,-4.429410397191762,103.40908126138545,0.0,88.99942548670094,71.4555923755298,2977.6892746431495
99.05553029450856,0.22579845740334717,136.48491129708376,-4.140843712695059,0.09984355922171337,-4.449438509115009,103.42290709703295,0.0,88.99942507319307,71.44408237611543,2984.833710948187
99.1555306873825,0.22571699388980046,136.48662235366672,-4.141251000870713,0.09974557019696935,-4.469489588208405,103.43673079078222,0.0,88.99942465670806,71.43325080013811,2991.977064091365
99.25553108025636,0.22563524431991017,136.4883315908003,-4.141658290508752,0.09964771251944803,-4.48956364100755,103.45055238737875,0.0,88.99942423724663,71.42309402889549,2999.1194015534215
99.35553147313018,0.2255532088957424,136.49003901068204,-4.142065581191956,0.0995499857257339,-4.50966067409555,103.46437193147146,0.0,88.9994238148093,71.41361290066902,3006.260790898924
99.45553186600392,0.22547088781946295,136.4917446155011,-4.1424728725042455,0.09945238935462442,-4.529780694102942,103.47818946761343,0.0,88.99942338939645,71.4048059338526,3013.4012995442777
99.55553225887762,0.22538828129333907,136.49344840743808,-4.142880164030671,0.09935492294711831,-4.549923707707594,103.49200504026228,0.0,88.99942296100832,71.39667268605936,3020.54099486165
