Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG,mpg,MonteCarlo,1,true,24.982962819705858,3.001155504421085,25.0,0.8713877611136904,99591.97429600461,5796.0570036648905,2700.6478131939507,335.24325515496247,1.905773798832622,0.19834341864001645
MPG,mpg,MonteCarlo,2,true,24.98246091306496,2.995382852680402,25.0,0.7788246971051419,100672.6667990314,5796.111247634015,2700.61129150088,334.59901081354604,2.0242812160482955,0.08568816434642841
MPG,mpg,MonteCarlo,3,true,24.974831519715188,2.9959574550937678,25.0,0.8504321322307663,100979.09597916462,5796.467762221693,2699.8380518477015,334.6631382283475,2.844974540963652,0.16698872382482197
MPG,mpg,MonteCarlo,4,true,24.975427311771654,2.9960986593756362,25.0,0.8374345508229625,100610.8852610889,5796.438939890176,2699.897978212634,334.6788970598182,2.77682461637373,0.15578156303981358
MPG,mpg,MonteCarlo,5,true,24.980033572282696,2.9986150779599994,25.000000000000004,0.8504823333136062,100356.24290054207,5796.208534851019,2700.357760749237,334.95973676033253,2.233676579334441,0.1708833808599004
MPG,mpg,MonteCarlo,6,true,24.98674453464448,2.993903451737943,25.008155131864452,0.6978006354125739,100265.40750988555,5795.92453553544,2701.051708948101,334.4343308566275,1.6287258604873986,0.005788666447655471
MPG,mpg,MonteCarlo,7,true,24.98168201289648,2.9988578235183194,25.0,0.8414061231344271,100061.55086325044,5796.129554815689,2700.5239213405907,334.986827843016,2.048318334731689,0.1622523999449478
MPG,mpg,MonteCarlo,8,true,24.982518420302615,2.9993986043225975,25.0,0.841592828016326,100339.92152437678,5796.087265602721,2700.607197862322,335.04718047041627,1.9521487249320908,0.16145494036105482
MPG,mpg,MonteCarlo,9,true,24.98387166055215,2.9985598862402996,25.0,0.8227497310912693,99692.22373695824,5796.027924696547,2700.7461631966644,334.95357720933674,1.8071476731102594,0.14010479024376693
MPG,mpg,MonteCarlo,10,true,24.986190529795437,2.9962725361796565,25.0,0.7547393461814398,99320.14419289191,5795.930731454487,2700.986383421169,334.69830224230014,1.5964809634704353,0.06387035286278105
