Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG,mpg,MonteCarlo,1,true,24.982575038817377,2.993408990321341,25.0,0.7485718606252981,100176.57307093464,5796.116313469314,2700.627703366223,334.3787213845489,2.0795018513276995,0.05225653815541866
MPG,mpg,MonteCarlo,2,true,24.988493022831175,2.9979514172070423,25.0,0.7731735761996775,99122.52077286017,5795.8132929274125,2701.2151528708728,334.8856703349532,1.3044580033300721,0.0850232189773575
MPG,mpg,MonteCarlo,3,true,24.985518424802322,3.000102192165851,25.0,0.8382918093112091,99272.93821879454,5795.94212423581,2700.908938972713,335.1257027671576,1.6162226653905407,0.159349806075723
MPG,mpg,MonteCarlo,4,true,24.978134436705776,2.9941197168211895,25.0,0.7838410702218827,100346.58898661594,5796.321842850629,2700.1767264014943,334.4580408084084,2.5271982466268423,0.0928006266628075
MPG,mpg,MonteCarlo,5,true,24.9690234555152,2.993270758196105,25.0,0.8313804699273737,100902.83676602974,5796.755634431421,2699.2570724065754,334.36329421701964,3.537926402297368,0.14744989304095882
MPG,mpg,MonteCarlo,6,true,24.99227529991545,2.9989522187402295,25.0,0.7647935969329341,98724.53201817216,5795.629661771345,2701.595275278699,334.9973626119537,0.8700135340404456,0.0761146850995173
MPG,mpg,MonteCarlo,7,true,24.987177635338703,2.996741919349507,25.0,0.7601429181561353,99352.80280043474,5795.881711849972,2701.0850783868123,334.75068682251964,1.4766081555991302,0.0716620913388062
MPG,mpg,MonteCarlo,8,true,24.980522123837467,2.996365407251432,25.0,0.7906668495706575,101019.30875751692,5796.197426242225,2700.412736059007,334.708666936347,2.211410308991339,0.10390618843758687
MPG,mpg,MonteCarlo,9,true,24.977167689852344,2.999399207973873,25.0,0.8769393009326271,99980.79175609206,5796.339441064865,2700.0659003883584,335.04724783954475,2.5490317786874424,0.2051826544459437
MPG,mpg,MonteCarlo,10,true,24.978463214970343,3.0008976052753806,25.0,0.9017644515811855,100644.89772449958,5796.270443336998,2700.193260785579,335.21447294986746,2.405653979732615,0.23348634305601462
MPG,mpg,MonteCarlo,11,true,24.985373316335416,2.9951216628960524,25.0,0.7498947913213534,99283.62140847115,5795.975347807652,2700.9065545376225,334.5698612108887,1.7210142965037714,0.054703480226790197
MPG,mpg,MonteCarlo,12,true,24.97679949695872,2.9997256867875706,25.0,0.8973166938297183,100583.76965280414,5796.355061358313,2700.0278458402395,335.0836837600081,2.5894197654924866,0.2254360665893389
